"Step","vibrant-sweep-9 - rmse","vibrant-sweep-9 - rmse__MIN","vibrant-sweep-9 - rmse__MAX"
"1","1.188350454475058","1.188350454475058","1.188350454475058"
"2","1.1278082257122481","1.1278082257122481","1.1278082257122481"
"3","1.0989789706886504","1.0989789706886504","1.0989789706886504"
"4","1.0735173196254748","1.0735173196254748","1.0735173196254748"
"5","1.052883625107043","1.052883625107043","1.052883625107043"
"6","1.0430298479174847","1.0430298479174847","1.0430298479174847"
"7","1.0361637837291449","1.0361637837291449","1.0361637837291449"
"8","1.0198630696916033","1.0198630696916033","1.0198630696916033"
"9","1.0101968257146072","1.0101968257146072","1.0101968257146072"
"10","1.0025709879134492","1.0025709879134492","1.0025709879134492"
"11","0.996562599401074","0.996562599401074","0.996562599401074"
"12","0.9846495581485444","0.9846495581485444","0.9846495581485444"
"13","0.9788197258888632","0.9788197258888632","0.9788197258888632"
"14","0.980389223206271","0.980389223206271","0.980389223206271"
"15","0.9663981500816881","0.9663981500816881","0.9663981500816881"
"16","0.9602245399235091","0.9602245399235091","0.9602245399235091"
"17","0.9550530925282315","0.9550530925282315","0.9550530925282315"
"18","0.9513380258592107","0.9513380258592107","0.9513380258592107"
"19","0.94736958430942","0.94736958430942","0.94736958430942"
"20","0.9555374454123232","0.9555374454123232","0.9555374454123232"
"21","0.9406185067914431","0.9406185067914431","0.9406185067914431"
"22","0.9338365319714361","0.9338365319714361","0.9338365319714361"
"23","0.9290867717477151","0.9290867717477151","0.9290867717477151"
"24","0.9282860809585588","0.9282860809585588","0.9282860809585588"
"25","0.9248541966990337","0.9248541966990337","0.9248541966990337"
"26","0.9172214848792609","0.9172214848792609","0.9172214848792609"
"27","0.9151264312959648","0.9151264312959648","0.9151264312959648"
"28","0.9136892696433694","0.9136892696433694","0.9136892696433694"
"29","0.9105103371540867","0.9105103371540867","0.9105103371540867"
"30","0.9067968003169108","0.9067968003169108","0.9067968003169108"
"31","0.9031320534469178","0.9031320534469178","0.9031320534469178"
"32","0.9007576820969027","0.9007576820969027","0.9007576820969027"
"33","0.8978539956833057","0.8978539956833057","0.8978539956833057"
"34","0.8951248450161198","0.8951248450161198","0.8951248450161198"
"35","0.8953633139316561","0.8953633139316561","0.8953633139316561"
"36","0.892506001824256","0.892506001824256","0.892506001824256"
"37","0.891398387832836","0.891398387832836","0.891398387832836"
"38","0.8874833790200931","0.8874833790200931","0.8874833790200931"
"39","0.8853020752067651","0.8853020752067651","0.8853020752067651"
"40","0.8837661410503588","0.8837661410503588","0.8837661410503588"
"41","0.8833614645782997","0.8833614645782997","0.8833614645782997"
"42","0.8774820052531533","0.8774820052531533","0.8774820052531533"
"43","0.8768068622022179","0.8768068622022179","0.8768068622022179"
"44","0.875224796834951","0.875224796834951","0.875224796834951"
"45","0.881087898986316","0.881087898986316","0.881087898986316"
"46","0.8693869809844089","0.8693869809844089","0.8693869809844089"
"47","0.8659291360723722","0.8659291360723722","0.8659291360723722"
"48","0.8700733073806982","0.8700733073806982","0.8700733073806982"
"49","0.8648689394583313","0.8648689394583313","0.8648689394583313"
"50","0.8651235161960188","0.8651235161960188","0.8651235161960188"
"51","0.8630708950031611","0.8630708950031611","0.8630708950031611"
"52","0.870466957685985","0.870466957685985","0.870466957685985"
"53","0.8609749648213728","0.8609749648213728","0.8609749648213728"
"54","0.8616804810996808","0.8616804810996808","0.8616804810996808"
"55","0.8581357253511125","0.8581357253511125","0.8581357253511125"
"56","0.8577238296002844","0.8577238296002844","0.8577238296002844"
"57","0.8569168226778815","0.8569168226778815","0.8569168226778815"
"58","0.8584231278703437","0.8584231278703437","0.8584231278703437"
"59","0.8573538118526336","0.8573538118526336","0.8573538118526336"
"60","0.8527225015943405","0.8527225015943405","0.8527225015943405"
"61","0.8508894014168215","0.8508894014168215","0.8508894014168215"
"62","0.849614441515897","0.849614441515897","0.849614441515897"
"63","0.8536377423925757","0.8536377423925757","0.8536377423925757"
"64","0.8511472946966414","0.8511472946966414","0.8511472946966414"
"65","0.848491985920464","0.848491985920464","0.848491985920464"
"66","0.8483712094575178","0.8483712094575178","0.8483712094575178"
"67","0.8462682614616569","0.8462682614616569","0.8462682614616569"
"68","0.8474662844059716","0.8474662844059716","0.8474662844059716"
"69","0.8516906281663379","0.8516906281663379","0.8516906281663379"
"70","0.8460916827384692","0.8460916827384692","0.8460916827384692"
"71","0.8475688931822326","0.8475688931822326","0.8475688931822326"
"72","0.8478452927448344","0.8478452927448344","0.8478452927448344"
"73","0.8491873884006637","0.8491873884006637","0.8491873884006637"
"74","0.8434547724615443","0.8434547724615443","0.8434547724615443"
"75","0.8416062109986974","0.8416062109986974","0.8416062109986974"
"76","0.8435292212005948","0.8435292212005948","0.8435292212005948"
"77","0.8478802088620266","0.8478802088620266","0.8478802088620266"
"78","0.8428330323986398","0.8428330323986398","0.8428330323986398"
"79","0.8475783441336149","0.8475783441336149","0.8475783441336149"
"80","0.840447036274267","0.840447036274267","0.840447036274267"
"81","0.8409327113781152","0.8409327113781152","0.8409327113781152"
"82","0.8468091474410254","0.8468091474410254","0.8468091474410254"
"83","0.844661898446896","0.844661898446896","0.844661898446896"
"84","0.8431081531758222","0.8431081531758222","0.8431081531758222"
"85","0.8429185304537127","0.8429185304537127","0.8429185304537127"
"86","0.8473082710242884","0.8473082710242884","0.8473082710242884"
"87","0.8384723105778871","0.8384723105778871","0.8384723105778871"
"88","0.8386132437934385","0.8386132437934385","0.8386132437934385"
"89","0.8399284986164715","0.8399284986164715","0.8399284986164715"
"90","0.840812152788338","0.840812152788338","0.840812152788338"
"91","0.8456940311603229","0.8456940311603229","0.8456940311603229"
"92","0.8386558361632841","0.8386558361632841","0.8386558361632841"
"93","0.8380318137076844","0.8380318137076844","0.8380318137076844"
"94","0.8422184795793622","0.8422184795793622","0.8422184795793622"
"95","0.8423249391014839","0.8423249391014839","0.8423249391014839"
"96","0.8394267796760057","0.8394267796760057","0.8394267796760057"
"97","0.839449452509128","0.839449452509128","0.839449452509128"
"98","0.8398396352644556","0.8398396352644556","0.8398396352644556"
"99","0.8377344010852414","0.8377344010852414","0.8377344010852414"
"100","0.841630178684918","0.841630178684918","0.841630178684918"
"101","0.8393487593234464","0.8393487593234464","0.8393487593234464"
"102","0.8388479073207334","0.8388479073207334","0.8388479073207334"
"103","0.8448852756603175","0.8448852756603175","0.8448852756603175"
"104","0.8392355646503783","0.8392355646503783","0.8392355646503783"
"105","0.8445501581994865","0.8445501581994865","0.8445501581994865"
"106","0.8395130016328766","0.8395130016328766","0.8395130016328766"
"107","0.8403347103396847","0.8403347103396847","0.8403347103396847"
"108","0.8395835261676381","0.8395835261676381","0.8395835261676381"
"109","0.8417046953003781","0.8417046953003781","0.8417046953003781"
"110","0.8367565113192115","0.8367565113192115","0.8367565113192115"
"111","0.8397926362427359","0.8397926362427359","0.8397926362427359"
"112","0.8368826890093295","0.8368826890093295","0.8368826890093295"
"113","0.8422397923195611","0.8422397923195611","0.8422397923195611"
"114","0.8369231501565356","0.8369231501565356","0.8369231501565356"
"115","0.8400304180646418","0.8400304180646418","0.8400304180646418"
"116","0.8419485678806331","0.8419485678806331","0.8419485678806331"
"117","0.8386525910202512","0.8386525910202512","0.8386525910202512"
"118","0.8432651406167105","0.8432651406167105","0.8432651406167105"
"119","0.8390296137854759","0.8390296137854759","0.8390296137854759"
"120","0.8395209167041111","0.8395209167041111","0.8395209167041111"
"121","0.8404338735331226","0.8404338735331226","0.8404338735331226"
"122","0.837608248823452","0.837608248823452","0.837608248823452"
"123","0.8398232560077185","0.8398232560077185","0.8398232560077185"
"124","0.8398060762935174","0.8398060762935174","0.8398060762935174"
"125","0.8416597284563385","0.8416597284563385","0.8416597284563385"
"126","0.8397725063998296","0.8397725063998296","0.8397725063998296"
"127","0.8438311246012754","0.8438311246012754","0.8438311246012754"
"128","0.8382771367814771","0.8382771367814771","0.8382771367814771"
"129","0.8413954373213317","0.8413954373213317","0.8413954373213317"
"130","0.8491271507712991","0.8491271507712991","0.8491271507712991"
"131","0.8386092164920128","0.8386092164920128","0.8386092164920128"
"132","0.8400428788623651","0.8400428788623651","0.8400428788623651"
